original_name,new_name,Subject_area,Attribute_description
Achsen,Axles,Vehicle_technology,Number_of_axles
Anhängelast,Towing_capacity,Vehicle_technology,"Indication_of_the_vehicle's_permissible_towing_capacity_in_kilograms
Field_31_on_the_vehicle_registration_document"
Antrieb,Drivetrain,Vehicle_technology,"Type_of_drivetrain_(e.g._front-wheel_drive,_rear-wheel_drive,_all-wheel_drive)
Off-road_capability_declared_as_per_Art._12_para._3_RVTAO."
Antrieb_Code,Drivetrain_code,Vehicle_technology,"Code_for_the_vehicle's_type_of_drivetrain_(e.g._front-wheel_drive,_rear-wheel_drive,_all-wheel_drive)
Off-road_capability_declared_as_per_Art._12_para._3_RVTAO."
CO2-NEFZ,CO2_NEDC,Vehicle_technology,CO2_emissions_[g/km]_according_to_NEDC
CO2-WLTP,CO2_WLTP,Vehicle_technology,CO2_emissions_[g/km]_according_to_WLTP
Dachlast,Roof_load_capacity,Vehicle_technology,"Indication_of_the_vehicle's_permissible_roof_load_capacity_in_kilograms_
Field_55_on_the_vehicle_registration_document"
El-Verbrauch,El_consumption,Vehicle_technology,Electricity_consumption_in_kWh/100km_according_to_WLTP
Emissionscode,Emission_code,Vehicle_technology,"Swiss_emission_code
Field_72_on_the_vehicle_registration_document"
Ersterfassung_Jahr,Initial_vehicle_data_entrance_year,Registration_/_Administration,Year_when_first_entered_in_the_register_(only_for_imported_used_vehicles)
Ersterfassung_Monat,Initial_vehile_data_entrance_month,Registration_/_Administration,Month_when_first_entered_in_the_register_(only_for_imported_used_vehicles)
Erstinverkehrsetzung_Jahr,Initial_registration_year,Registration_/_Administration,"Year_of_initial_registration
For_imported_used_vehicles,_this_is_the_year_of_initial_registration_abroad."
Erstinverkehrsetzung_Kanton,Initial_registration_canton,Registration_/_Administration,"Canton_of_initial_registration
FL_and_Military_(M)_are_treated_as_a_canton_in_this_regard."
Erstinverkehrsetzung_Monat,Initial_registration_month,Registration_/_Administration,Month_of_initial_registration
Erstinverkehrsetzung_Staat,Initial_registration_country,Registration_/_Administration,"Country_of_initial_registration
Blank_=_Switzerland_or_Principality_of_Liechtenstein
Values_not_recorded_are_also_shown_as_blank"
Fahrzeugart,Vehicle_type,Vehicle_technology,"Swiss_vehicle_classification
Field_19_on_the_vehicle_registration_document"
Fahrzeugart_Code,Vehicle_type_code,Vehicle_technology,"Code_for_Swiss_vehicle_classification
Field_19_on_the_vehicle_registration_document"
Fahrzeugklasse,Vehicle_category,Vehicle_technology,EU_vehicle_category
Farbe,Colour,Vehicle_technology,"Main_colour_(out_of_max._3_colours)
Field_26_on_the_vehicle_registration_document"
Farbe_Zusatz,Colour_detail,Vehicle_technology,"Dummy_variable_(metallic_or_left_blank)
Indicates_whether_the_vehicle_colour_is_metallic."
Fahrgestell-Nr_Teil,Frame_No_part,Vehicle_type,"Anonymised_Vehicle_Identification_Number_(VIN)
11_of_the_17_digits_are_displayed_(masked_digits_are_replaced_by_dots)"
Gebrauchtcode,Used_vehicle_code,Registration_/_Administration,Code_for_the_vehicle's_condition_when_first_registered_in_Switzerland_or_the_Principality_of_Liechtenstein.
Gesamtgewicht,Gross_vehicle_weight,Vehicle_technology,"Indication_of_the_total_permissible_weight_of_the_loaded_vehicle_in_kilograms_
Field_33_on_the_vehicle_registration_document"
Gesamtzugsgewicht,Gross_combined_vehicle_weight,Vehicle_technology,"Indication_of_the_total_permissible_weight_of_the_vehicle_combination_(towing_vehicle_and_trailer)_in_kilograms
Field_35_on_the_vehicle_registration_document"
Getriebe,Gearbox,Vehicle_technology,Gearbox_design_(not_how_gears_are_shifted)
Getriebe_Code,Gearbox_code,Vehicle_technology,Code_for_the_gearbox_design_(not_how_gears_are_shifted)
Getriebe_Detailcode,Gearbox_details_code,Vehicle_technology,"Contains_information_on_the_gearbox_design,_the_number_of_gears_and_mode_or_additional_information_on_the_gearbox_design._
First_character:_Gearbox_design_(A=automatic,_M=mechanical,_S=continuously_variable,_H=hydrostatic)
Numerical_digits:_Number_of_gears
Remaining_characters:_Mode_or_additional_information_on_gearbox_design_(A=automatic_mode;_M=int._mech._transmission_or_gears_with_continuously_variable_transmission;_S=self-clutching_manual_transmission)"
Hubraum,Engine_capacity,Vehicle_technology,"Capacity_of_the_vehicle's_engine_in_cubic_centimetres
Field_37_on_the_vehicle_registration_document"
Hybridcode,Hybrid_code,Vehicle_technology,"Code_for_the_hybrid_vehicle_class
Only_available_for_vehicles_registered_via_eCOC."
